year,reef,in/out,position,core,top/bot,total mass,sample mass,hydro 40sec,temp 40sec,hydro 2hr,temp 2hr,cor. 40sec,temp.cor. 40sec,cor. 2hr,temp.cor. 2hr,sand,silt,clay,grain,percent
1,2,IN,0,4,Top,35.85,35.85,21.5,22.1,13.0,22.1,20.000,20.755,11.000,11.755,42.1050,25.1046,32.7904,sand,42.1050
1,2,IN,0,5,Top,47.02,47.02,21.0,22.1,12.0,22.1,19.500,20.255,10.000,10.755,56.9218,20.2042,22.8740,sand,56.9218
1,2,IN,0,1,Bot,129.80,50.27,30.5,22.1,17.0,22.1,29.000,29.755,15.000,15.755,40.8089,27.8496,31.3415,sand,40.8089
1,2,IN,0,2,Bot,134.20,50.03,24.0,21.9,14.0,22.1,22.500,23.183,12.000,12.755,53.6609,20.8436,25.4954,sand,53.6609
1,2,IN,0,3,Bot,132.40,50.17,29.5,22.0,17.0,22.1,28.000,28.719,15.000,15.755,42.7558,25.8402,31.4040,sand,42.7558
1,2,IN,0,4,Bot,126.20,50.06,29.5,22.0,17.0,22.0,28.000,28.719,15.000,15.719,42.6300,25.9688,31.4011,sand,42.6300
1,2,IN,0,5,Bot,120.70,50.13,28.0,22.0,15.0,22.0,26.500,27.219,13.000,13.719,45.7024,26.9300,27.3676,sand,45.7024
1,2,IN,12,1,Top,41.63,41.63,26.0,22.0,14.5,22.0,24.500,25.219,12.500,13.219,39.4201,28.8254,31.7545,sand,39.4201
1,2,IN,12,2,Top,33.55,33.55,23.5,22.0,14.5,22.0,22.000,22.719,12.500,13.219,32.2820,28.3159,39.4021,sand,32.2820
1,2,IN,12,3,Top,35.41,35.41,23.0,22.1,15.0,22.1,21.500,22.255,13.000,13.755,37.1495,24.0045,38.8460,sand,37.1495
1,2,IN,12,4,Top,31.66,31.66,19.5,22.2,12.0,22.1,18.000,18.791,10.000,10.755,40.6464,25.3821,33.9715,sand,40.6464
1,2,IN,12,5,Top,31.14,31.14,20.0,22.2,13.0,22.1,18.500,19.291,11.000,11.755,38.0496,24.2003,37.7501,sand,38.0496
1,2,IN,12,1,Bot,107.30,50.28,31.0,22.1,17.0,22.1,29.500,30.255,15.000,15.755,39.8262,28.8385,31.3353,sand,39.8262
1,2,IN,12,2,Bot,132.90,50.27,28.0,22.2,17.0,22.1,26.500,27.291,15.000,15.755,45.7105,22.9480,31.3415,sand,45.7105
1,2,IN,12,3,Bot,135.20,50.29,25.0,22.2,15.5,22.1,23.500,24.291,13.500,14.255,51.6975,19.9562,28.3463,sand,51.6975
1,2,IN,12,4,Bot,125.90,50.65,29.5,22.0,17.0,22.0,28.000,28.719,15.000,15.719,43.2983,25.6663,31.0353,sand,43.2983
1,2,IN,12,5,Bot,139.50,50.05,28.0,21.9,18.0,22.0,26.500,27.183,16.000,16.719,45.6875,20.9072,33.4054,sand,45.6875
1,2,IN,19,1,Top,34.48,34.48,21.0,20.8,11.5,21.6,19.000,19.288,9.500,10.076,44.0610,26.7176,29.2213,sand,44.0610
1,2,IN,19,2,Top,28.29,28.29,19.0,20.8,12.0,21.5,17.000,17.288,10.000,10.540,38.8909,23.8537,37.2554,sand,38.8909
1,2,IN,19,3,Top,39.35,39.35,21.5,20.8,12.5,21.6,19.500,19.788,10.500,11.076,49.7134,22.1404,28.1462,sand,49.7134
1,2,IN,19,4,Top,40.54,40.54,23.5,20.5,12.5,21.5,21.500,21.680,10.500,11.040,46.5223,26.2464,27.2313,sand,46.5223
1,2,IN,19,5,Top,39.81,39.81,23.5,20.5,13.0,21.5,21.500,21.680,11.000,11.540,45.5417,25.4717,28.9866,sand,45.5417
1,2,IN,19,1,Bot,120.80,50.78,33.0,20.6,18.0,21.5,31.000,31.216,16.000,16.540,38.5273,28.9017,32.5710,sand,38.5273
1,2,IN,19,2,Bot,137.30,50.15,29.0,20.5,15.0,21.5,27.000,27.180,13.000,13.540,45.8029,27.1990,26.9981,sand,45.8029
1,2,IN,19,3,Bot,121.30,50.36,31.5,20.5,16.5,21.5,29.500,29.680,14.500,15.040,41.0646,29.0713,29.8641,sand,41.0646
1,2,IN,19,4,Bot,118.70,50.06,34.0,20.5,19.0,21.5,32.000,32.180,17.000,17.540,35.7174,29.2455,35.0371,sand,35.7174
1,2,IN,19,5,Bot,119.80,50.88,34.0,20.5,17.0,21.5,32.000,32.180,15.000,15.540,36.7534,32.7050,30.5416,sand,36.7534
1,2,IN,27,1,Top,41.49,41.49,23.5,20.5,12.5,21.5,21.500,21.680,10.500,11.040,47.7468,25.6455,26.6077,sand,47.7468
1,2,IN,27,2,Top,40.41,40.41,20.0,20.6,11.0,21.4,18.000,18.216,9.000,9.504,54.9225,21.5596,23.5179,sand,54.9225
1,2,IN,27,3,Top,39.26,39.26,23.0,20.6,12.5,21.5,21.000,21.216,10.500,11.040,45.9607,25.9202,28.1191,sand,45.9607
1,2,IN,27,4,Top,38.86,38.86,24.5,20.6,13.5,21.5,22.500,22.716,11.500,12.040,41.5445,27.4737,30.9819,sand,41.5445
1,2,IN,27,5,Top,40.07,40.07,24.5,20.6,13.0,21.5,22.500,22.716,11.000,11.540,43.3097,27.8919,28.7985,sand,43.3097
1,2,IN,27,1,Bot,105.0,50.18,34.5,20.6,18.0,21.5,32.500,32.716,16.000,16.540,34.8031,32.2365,32.9604,sand,34.8031
1,2,IN,27,2,Bot,113.8,50.20,33.5,20.6,19.5,21.5,31.500,31.716,17.500,18.040,36.8211,27.2436,35.9354,sand,36.8211
1,2,IN,27,3,Bot,117.8,50.36,28.0,20.6,17.0,21.5,26.000,26.216,15.000,15.540,47.9432,21.1999,30.8569,sand,47.9432
