reef,in/out,position,core,top/bot,sand,silt,clay,volume (cm3),total mass,sand mass,silt mass,clay mass,sample weight,weight lost,%om
2,OUT,19,4,Top,0.0000,50.7761,49.2239,39.26,20.52,0.00,10.42,10.10,2.9676,0.1195,4.02682302197062
2,OUT,19,5,Top,0.0000,48.5123,51.4877,39.26,21.56,0.00,10.46,11.10,2.9688,0.1093,3.68162220425761
2,OUT,19,1,Bot,6.6876,52.1191,41.1933,117.81,75.30,5.04,39.25,31.02,2.9396,0.1169,3.97673152809906
2,OUT,19,2,Bot,10.5645,51.5222,37.9134,117.81,83.20,8.79,42.87,31.54,2.8941,0.109,3.76628312774265
2,OUT,19,3,Bot,9.0138,51.9019,39.0842,117.81,81.10,7.31,42.09,31.70,2.9242,0.1161,3.97031666780658
2,OUT,19,4,Bot,8.1267,53.8315,38.0417,117.81,83.60,6.79,45.00,31.80,2.9896,0.116,3.88011774150388
2,OUT,19,5,Bot,11.9873,52.0557,35.9569,117.81,78.70,9.43,40.97,28.30,2.9629,0.1178,3.97583448648284
2,OUT,27,1,Top,0.0000,50.1500,49.8500,39.26,24.13,0.00,12.10,12.03,2.8417,0.1152,4.05391139106873
2,OUT,27,2,Top,0.0000,47.1882,52.8118,39.26,21.83,0.00,10.30,11.53,3.0696,0.1126,3.66823038832421
2,OUT,27,3,Top,0.0000,52.8703,47.1297,39.26,26.66,0.00,14.10,12.56,2.9241,0.1114,3.8097192298485
2,OUT,27,4,Top,0.0000,50.1860,49.8140,39.26,22.14,0.00,11.11,11.03,2.8331,0.1181,4.16857858882496
2,OUT,27,5,Top,0.0000,47.7966,52.2034,39.26,24.00,0.00,11.47,12.53,2.9443,0.1182,4.01453656217097
2,OUT,27,1,Bot,5.8981,54.9537,39.1482,117.81,84.40,4.98,46.38,33.04,2.8658,0.1114,3.88722171819387
2,OUT,27,2,Bot,3.7611,52.1784,44.0605,117.81,88.70,3.34,46.28,39.08,3.1239,0.116,3.7133070840936
2,OUT,27,3,Bot,6.9970,52.4743,40.5287,117.81,77.90,5.45,40.88,31.57,2.8703,0.1137,3.96125840504477
2,OUT,27,4,Bot,6.6139,48.7735,44.6126,117.81,83.70,5.54,40.82,37.34,2.9421,0.1162,3.9495598382108
2,OUT,27,5,Bot,6.7754,53.1516,40.0731,117.81,85.40,5.79,45.39,34.22,2.9458,0.1256,4.26369746758096
