year,reef,in/out,position,core,top/bot,sand,silt,clay,volume (cm3),total mass,sand mass,silt mass,clay mass,sample weight,weight lost,%om
1,2,OUT,12,1,Top,39.7540,27.2832,32.9628,39.26,41.61,16.5416,11.3525,13.7158,3.0205,0.0732,2.4234
1,2,OUT,12,2,Top,38.2437,20.9594,40.7969,39.26,27.58,10.5476,5.7806,11.2518,3.0128,0.0621,2.0612
1,2,OUT,12,3,Top,45.0626,25.5927,29.3447,39.26,40.17,18.1016,10.2806,11.7878,3.0024,0.0680,2.2649
1,2,OUT,12,4,Top,42.6906,23.1724,34.1371,39.26,35.89,15.3216,8.3166,12.2518,2.9945,0.0817,2.7283
1,2,OUT,12,5,Top,45.2209,19.3005,35.4787,39.26,43.09,19.4857,8.3166,15.2878,2.9615,0.0781,2.6372
1,2,OUT,12,1,Bot,41.9747,25.6641,32.3612,117.81,109.80,46.0882,28.1792,35.5326,3.0057,0.0762,2.5352
1,2,OUT,12,2,Bot,41.3528,28.3984,30.2488,117.81,127.90,52.8902,36.3215,38.6883,3.0228,0.0755,2.4977
1,2,OUT,12,3,Bot,40.8250,24.7029,34.4721,117.81,114.30,46.6630,28.2354,39.4016,2.9875,0.0896,2.9992
1,2,OUT,12,4,Bot,50.2150,20.6140,29.1710,117.81,132.20,66.3842,27.2517,38.5641,2.9972,0.0821,2.7392
1,2,OUT,12,5,Bot,48.2176,20.5225,31.2598,117.81,128.60,62.0079,26.3920,40.2002,2.9873,0.0729,2.4403
1,2,OUT,19,1,Top,34.6630,31.9703,33.3667,39.26,28.59,9.9102,9.1403,9.5395,3.2055,0.0946,2.9512
1,2,OUT,19,2,Top,51.2036,24.4995,24.2968,39.26,49.70,25.4482,12.1763,12.0755,3.0663,0.0825,2.6905
1,2,OUT,19,3,Top,38.9860,25.1611,35.8528,39.26,36.47,14.2182,9.1763,13.0755,3.0744,0.0746,2.4265
1,2,OUT,19,4,Top,34.2117,32.2152,33.5731,39.26,37.35,12.7781,12.0324,12.5396,3.0830,0.0926,3.0036
1,2,OUT,19,5,Top,42.5031,25.0658,32.4311,39.26,34.04,14.4681,8.5324,11.0396,3.0753,0.0778,2.5298
1,2,OUT,19,1,Bot,31.3335,34.8579,33.8086,117.81,106.60,33.4015,37.1585,36.0400,3.0273,0.0995,3.2868
1,2,OUT,19,2,Bot,44.2292,26.9194,28.8514,117.81,121.80,53.8712,32.7878,35.1410,3.0348,0.1033,3.4038
1,2,OUT,19,3,Bot,42.2170,28.9918,28.7913,117.81,129.10,54.5021,37.4284,37.1695,3.0460,0.1098,3.6047
1,2,OUT,19,4,Bot,18.4013,39.9053,41.6934,117.81,93.70,17.2420,37.3912,39.0667,3.0232,0.1036,3.4268
1,2,OUT,19,5,Bot,44.5275,28.7299,26.7427,117.81,128.10,57.0397,36.8030,34.2574,3.0944,0.0764,2.4690
1,2,OUT,27,1,Top,33.0762,29.9383,36.9856,39.26,26.95,8.9140,8.0684,9.9676,3.0484,0.0799,2.6210
1,2,OUT,27,2,Top,58.2086,15.4512,26.3402,39.26,39.74,23.1321,6.1403,10.4676,3.0696,0.0801,2.6095
1,2,OUT,27,3,Top,40.1867,22.9518,36.8615,39.26,31.11,12.5021,7.1403,11.4676,3.0497,0.0874,2.8659
1,2,OUT,27,4,Top,46.8384,23.5894,29.5722,39.26,38.90,18.2202,9.1763,11.5036,3.0446,0.0710,2.3320
1,2,OUT,27,5,Top,40.2572,23.5110,36.2317,39.26,30.37,12.2261,7.1403,11.0036,2.9862,0.0985,3.2985
1,2,OUT,27,1,Bot,30.7234,30.2443,39.0323,117.81,114.40,35.1476,34.5995,44.6529,3.0263,0.0954,3.1524
1,2,OUT,27,2,Bot,59.0984,16.1003,24.8013,117.81,98.50,58.2119,15.8588,24.4293,3.0745,0.0803,2.6118
1,2,OUT,27,3,Bot,37.8913,27.2110,34.8976,117.81,117.80,44.6360,32.0546,41.1094,3.0499,0.0957,3.1378
1,2,OUT,27,4,Bot,38.8983,28.2003,32.9014,117.81,116.80,45.4332,32.9379,38.4289,3.0549,0.0879,2.8773
1,2,OUT,27,5,Bot,33.9120,29.1291,36.9589,117.81,125.70,42.6274,36.6153,46.4573,3.0642,0.1034,3.3745
1,3,IN,0,1,Top,51.5407,28.2944,20.1648,39.26,48.45,24.9715,13.7087,9.7699,3.0742,0.0614,1.9973
1,3,IN,0,2,Top,52.1704,25.1094,22.7202,39.26,40.80,21.2855,10.2446,9.2699,2.9775,0.0740,2.4853
1,3,IN,0,3,Top,56.4517,22.7689,20.7795,39.26,47.19,26.6395,10.7446,9.8058,2.9904,0.0714,2.3876
1,3,IN,0,4,Top,64.6419,20.0966,15.2615,39.26,50.44,32.6054,10.1367,7.6979,3.1280,0.0586,1.8734
1,3,IN,0,5,Top,52.0251,27.0318,20.9430,39.26,37.10,19.3013,10.0288,7.7699,3.0543,0.0541,1.7713
1,3,IN,0,1,Bot,46.5261,26.0711,27.4027,117.81,128.60,59.8326,33.5275,35.2399,2.9987,0.0811,2.7045
1,3,IN,0,2,Bot,42.0126,31.8593,26.1281,117.81,118.50,49.7849,37.7532,30.9618,3.0656,0.0905,2.9521
1,3,IN,0,3,Bot,49.4633,25.0276,25.5091,117.81,118.00,58.3667,29.5326,30.1007,3.0693,0.0970,3.1603
1,3,IN,0,4,Bot,72.4247,14.1183,13.4570,117.81,142.10,102.9155,20.0621,19.1224,3.0288,0.0578,1.9083
1,3,IN,0,5,Bot,51.5190,27.1364,21.3446,117.81,124.00,63.8836,33.6491,26.4673,3.0217,0.0715,2.3662
1,3,IN,12,1,Top,47.1628,28.7788,24.0583,39.26,40.31,19.0113,11.6008,9.6979,3.0254,0.0766,2.5319
1,3,IN,12,2,Top,46.9843,25.5059,27.5098,39.26,29.80,14.0013,7.6008,8.1979,3.1022,0.0624,2.0115
1,3,IN,12,3,Top,54.0683,21.7954,24.1363,39.26,30.12,16.2854,6.5648,7.2699,3.0447,0.0753,2.4732
1,3,IN,12,4,Top,49.7766,24.1668,26.0566,39.26,31.60,15.7294,7.6367,8.2339,2.9770,0.0962,3.2314
1,3,IN,12,5,Top,59.6533,17.7827,22.5640,39.26,31.90,19.0294,5.6727,7.1979,3.0559,0.0937,3.0662
1,3,IN,12,1,Bot,40.9428,29.8908,29.1664,117.81,108.30,44.3410,32.3718,31.5872,2.9686,0.0952,3.2069
1,3,IN,12,2,Bot,43.8005,30.9676,25.2319,117.81,120.20,52.6482,37.2230,30.3287,3.0726,0.0564,1.8356
1,3,IN,12,3,Bot,51.4451,21.1298,27.4252,117.81,122.40,62.9688,25.8628,33.5684,3.0151,0.1032,3.4228
1,3,IN,12,4,Bot,43.1793,27.3517,29.4690,117.81,122.30,52.8083,33.4511,36.0406,3.0637,0.1031,3.3652
1,3,IN,12,5,Bot,50.5447,22.1603,27.2950,117.81,116.60,58.9351,25.8389,31.8260,3.0527,0.1004,3.2889
1,3,IN,19,1,Top,47.8911,28.5167,23.5922,39.26,29.29,14.0273,8.3525,6.9102,3.0917,0.0817,2.6426
1,3,IN,19,2,Top,49.3637,25.2874,25.3490,39.26,35.15,17.3513,8.8885,8.9102,3.0177,0.0714,2.3660
1,3,IN,19,3,Top,49.8735,28.6540,21.4725,39.26,34.51,17.2113,9.8885,7.4102,3.0555,0.0655,2.1437
1,3,IN,19,4,Top,55.5009,23.6401,20.8591,39.26,35.18,19.5252,8.3166,7.3382,3.0481,0.0796,2.6115
1,3,IN,19,5,Top,49.8652,28.0451,22.0898,39.26,33.22,16.5652,9.3166,7.3382,3.0566,0.0667,2.1822
1,3,IN,19,1,Bot,47.8583,26.5112,25.6305,117.81,113.80,54.4628,30.1697,29.1675,3.0517,0.0866,2.8378
