reef,in/out,position,core,top/bot,total mass,sample mass,hydro 40sec,temp 40sec,hydro 2hr,temp 2hr,cor. 40sec,temp.cor. 40sec,cor. 2hr,temp.cor. 2hr,sand,silt,clay,grain,percent
2,OUT,12,5,Top,25.87,25.87,33.5,13.3,19.0,16.2,30.000,27.590,16.000,14.633,0.0000,43.4359,56.5641,clay,56.5641
2,OUT,12,1,Bot,83.30,50.01,52.5,13.4,25.5,16.3,49.000,46.626,22.500,21.169,6.7667,50.9036,42.3298,clay,42.3298
2,OUT,12,2,Bot,94.90,50.44,52.0,13.6,26.0,16.5,48.500,46.198,23.000,21.741,8.4102,48.4871,43.1028,clay,43.1028
2,OUT,12,3,Bot,83.50,50.47,55.0,13.6,29.5,16.5,51.500,49.198,26.500,25.241,2.5205,47.4675,50.0120,clay,50.0120
2,OUT,12,4,Bot,85.50,50.21,53.0,13.6,25.5,16.6,49.500,47.198,22.500,21.277,5.9990,51.6250,42.3761,clay,42.3761
2,OUT,12,5,Bot,87.10,50.15,54.0,13.8,29.0,16.7,50.500,48.270,26.000,24.813,3.7490,46.7734,49.4775,clay,49.4775
2,OUT,19,1,Top,25.31,25.31,31.5,15.3,15.5,17.7,0.000,-7.194,0.000,-7.194,0.0000,53.8811,46.1189,clay,46.1189
2,OUT,19,2,Top,22.48,22.48,29.0,15.3,15.0,17.8,0.000,-7.194,0.000,-7.194,0.0000,50.1394,49.8606,clay,49.8606
2,OUT,19,3,Top,24.82,24.82,31.0,15.5,16.0,17.7,0.000,-7.194,0.000,-7.194,0.0000,50.9561,49.0439,clay,49.0439
2,OUT,19,4,Top,20.52,20.52,27.0,14.9,14.0,17.5,0.000,-7.194,0.000,-7.194,0.0000,50.7761,49.2239,clay,49.2239
2,OUT,19,5,Top,21.56,21.56,29.5,14.8,15.0,17.5,0.000,-7.194,0.000,-7.194,0.0000,48.5123,51.4877,clay,51.4877
2,OUT,19,1,Bot,75.30,50.01,51.5,14.9,24.5,17.5,0.000,-7.194,0.000,-7.194,6.6876,52.1191,41.1933,clay,41.1933
2,OUT,19,2,Bot,83.20,50.38,50.0,14.6,23.0,17.5,0.000,-7.194,0.000,-7.194,10.5645,51.5222,37.9134,clay,37.9134
2,OUT,19,3,Bot,81.10,50.15,50.5,14.8,23.5,17.5,0.000,-7.194,0.000,-7.194,9.0138,51.9019,39.0842,clay,39.0842
2,OUT,19,4,Bot,83.60,50.21,51.0,14.8,23.0,17.5,0.000,-7.194,0.000,-7.194,8.1267,53.8315,38.0417,clay,38.0417
2,OUT,19,5,Bot,78.70,50.14,49.0,14.8,22.0,17.3,0.000,-7.194,0.000,-7.194,11.9873,52.0557,35.9569,clay,35.9569
2,OUT,27,1,Top,24.13,24.13,30.5,14.8,16.0,17.3,0.000,-7.194,0.000,-7.194,0.0000,50.1500,49.8500,clay,49.8500
2,OUT,27,2,Top,21.83,21.83,28.0,14.8,15.5,17.3,0.000,-7.194,0.000,-7.194,0.0000,47.1882,52.8118,clay,52.8118
2,OUT,27,3,Top,26.66,26.66,32.5,14.8,16.5,17.4,0.000,-7.194,0.000,-7.194,0.0000,52.8703,47.1297,clay,47.1297
2,OUT,27,4,Top,22.14,22.14,27.5,14.9,15.0,17.3,0.000,-7.194,0.000,-7.194,0.0000,50.1860,49.8140,clay,49.8140
2,OUT,27,5,Top,24.00,24.00,31.0,14.9,16.5,17.3,0.000,-7.194,0.000,-7.194,0.0000,47.7966,52.2034,clay,52.2034
2,OUT,27,1,Bot,84.40,50.16,52.0,15.0,23.5,17.6,0.000,-7.194,0.000,-7.194,5.8981,54.9537,39.1482,clay,39.1482
2,OUT,27,2,Bot,88.70,50.16,53.0,15.2,26.0,17.5,0.000,-7.194,0.000,-7.194,3.7611,52.1784,44.0605,clay,44.0605
2,OUT,27,3,Bot,77.90,50.83,52.0,15.2,24.5,17.5,0.000,-7.194,0.000,-7.194,6.9970,52.4743,40.5287,clay,40.5287
2,OUT,27,4,Bot,83.70,50.66,52.0,15.3,26.5,17.5,0.000,-7.194,0.000,-7.194,6.6139,48.7735,44.6126,clay,44.6126
2,OUT,27,5,Bot,85.40,50.25,51.5,15.4,24.0,17.6,0.000,-7.194,0.000,-7.194,6.7754,53.1516,40.0731,clay,40.0731
